comment_id;tweet_id;comment_text
31;1794614722337321140;"Attention all patriots!
Legacy media is nothing but a pack of lying, biased, woke scumbags manipulating the truth for their agenda!
#DrainTheSwamp #FakeNews #MAGA #QAnon #FightBack #LegacyMediaLies #TraitorMedia #JournalisticTreason"
32;1790410472543437267;"This is literally just getting started 
Ready for multimillion run #Qanon"
33;1790012018985971975;We will be cannibalising you on the streets of Tel Aviv nigga. We will be burying you under concrete rubble, roasted on a stick, ISIS style, Mossad style, funded by FBI (Forum Batak Intelektual) and the Hotman Paris Talmudic Network. #QAnon #WWG1WGA
34;1790464053942378614;"I’ve done some more research on the world famous Swedish photograper that took pictures of ”unborn”. 
They were kept alive in an aquarium-like environment, which is why they appear to float in space. 
#eugenics #deepstate #Sweden"
35;1793625029441429961;"Pain of #Baloch mothers is indescribable. They are forced to witness the brutalization of their children and are denied justice.
Demanding dignity for the innocent #Baloch people & respite from #DeepState’s atrocities and exploitation! 
#ReleaseBalochMissingPersons "
36;1792959853331394569;"On a side note: Trump is not the actual one that is on Trial
Never Has been. From the beginning it's been the #DeepState Criminal Syndicate at every level from gov't to Civilian Swamp Creatures.
""Mirror"" 
""Sometimes You can't tell the Public the truth you must show them"""
37;1791031869858836490;"If it wasn’t for the dastardly deeds of the NWO cabal many humans would still be asleep. Them doing their dark shite is part of the awakening process. Be aware of that.#Chemtrails 
#covidscam
#nwo 
#deepstate
#geoengingeering 
#greatawakening"
38;1791112710429573525;"Seeing how those in positions of power arrive there is simply gut-wrenching & self-destructive.
#power #deepstate #swamp #MIC #militaryindustrialcomplex
see full vid: https://youtube.com/watch?v=yYFZ9nCySB0"
39;1793252654682173637;"@MahrangBaloch_
 is so right! Not only do #Baloch people get disappeared & killed by #DeepState, they're also victims of a cultural & economic genocide. 
Why should common people have to give excuses to #Miltablishment for movement in their own state?"
40;1790758713592090997;"BREAKING NEWS!!! 
The Prime Minister of Slovakia, Robert Fico, has just been shot in public.
This comes only days after Fico formally & publicly rejected The WHO Global Pandemic Accord. 
#BreakingNews‌ #NEWSINFO #slovakia #deepstate"
41;1791137833463562595;"This needs to be viral, reposted thousands of times, until this is the only thing you see in your feed.
When does a bird sing?
When it's set free.
When these Twitter files are released, it's game on.
#treason #deepstate #endthecabal #freethebird #draintheswamp #thestormisuponus"
42;1789627207964377190;With them by my side, we will destroy the “ #DeepState ”, we will drive the warmongers out of our government, we will drive out the globalists, we will throw out the communists, Marxists and fascists @realDonaldTrump
43;1793734774445777172;"It is a project of the #cia the legal basis of the #deepstate united Europe is an American creature!
What purpose does it serve to control and weaken the European peoples? If only Europe had a little intelligence and pride, things would be different!
Very different!
#Europadeipopolixipopoli"
44;1793734774445867172;#DeepState – Joe Digenova: FBI & DOJ under Obama asked the British intelligence MI6 & British version of NSA, GCHQ, to spy on Americans. It's illegal for FBI to spy on Americans so they asked the U.K. to do it. It’s disgraceful what Obama government did. #MAGA #TrumpTrain #Dobbs
45;1791454443621294320;"#BreakingNews : Trump’s Sending Deep State Elites to GITMO – Secret Military Movements in Major U.S. Cities!
#DeepState #Trump #GITMO #Military #US
Join Us:http://t.me/Gazetteller"
46;1794691519024378301;Exactly and #MarkZuckerberg is a heavily controlled tool of the #DeepState and its numerous operatives.
47;1794691275352137873;"@TheDemocrats
@GOP
 (aka #TheSwamp #DeepState #Uniparty) We The People, know the coup YOU coordinated againgst 
@realDonaldTrump
. 
If WE had stormed the Capitol (and not your paid agitators) the world wouldn’t have been able to watch the dominoes fall as they have.
Repent!"
48;1794677231396290940;"Issue is Christian Zionists want an Israel as a foundation for governing the world. Goes hand in hand w/ #WEF #WHO
Seems the #DeepState is quite successful so far since the populaces don't see the larger goal hence don't act against it"
49;1794578841127829968;People and Society need to go to the source of the problems and throw out the #DeepState #Zionist Jewwwush infiltrators in the institutions allowing this to happen and pushing these agendas. #ChemTrails #NoFarmersNoFood
50;1794571530484994325;"Dear #DeepState, just a brief message from 
@realDonaldTrump
.
The 50 Million+ Pro-#Crypto voters plus the 150 Million+ #MAGA & #AmericaFirst voters WILL be heard and you will be rendered feckless, exposed & held accountable to the fullest extent #Justice permits.
Enjoy the SUCK. 
@SenWarren
@GaryGensler
@billhinmanDC
@SECGov @DNC
@ethereumJoseph
 #XRPArmy #XRP 
@JohnEDeaton1 @Ripple
 #KUWL"
51;1794559637515071942;Everywhere on the #internet #irl / in real #life people are always talking about #government #conspiracy this n that u know #Why because half of them are #true n u people are waking up to the truth the rest of the world has known for a long time #war #money #slavery #genocide
52;1794535441284350376;"I believe #WW3 is going on right now since 2017 and the #DeepState and #Corrupt #Military must be eliminated in order to free up this #Technology for the public. It already appears that most of the world's corporations/governments are now controlled by a different group.
Soon."
53;1794534089988669873;That is so sad. The #DeepState #Zionists and #WEF truly are pushers of anti-human agendas and they must be stopped by society
54;1794504505322545194;Democrats say that “Decency is on the ballot”, but their actions prove that their #Woke #Leftist #DeepState #Zionist agendas are extremely indecent and maybe even criminal. Vote #Trump vote for sanity instead of insanity. #Elections2024
55;1794500450709868842;"Behind the Veil: Patrick Byrne's revelations peel back the layers of power. From bribery to murder, this isn't fiction—it's the U.S. government's dark reality. https://defiancepress.com/product/danger-close/ 
@BreitbartNews
@elonmusk
@Snowden
@PatrickByrne
 #DeepState #TruthMatters #DangerClose"
56;1794495352441086222;It’s sh!t sk!nned N!66ERS. They are being weaponized against society by the #DeepState #Zionist rat Jewwwush groups. Don’t care  #woke people’s feelings are hurt and think it’s racist, they’re already committing much worse to people than just harsh words and slurs.
57;1794487436766048382;The #DeepState better do something SOON - #THC Gummies are turning #Millennials into (LITERALLY) a generation of $hitheads ~~~ Farm Bill Amendment Threatens Cannabis Industry
58;1794480047782527074;"I see #DeepState cutouts are tugging on your heartstrings telling you what to do.
They know they can make BIG BUCKS if you fall for their pleas because they get a finders fee from the folks who hire the hitmen.

The missing link to #ZPE is people who take the time to study"
59;1794456393619255403;Floyd was a junky criminal who was the #falseflags for the #DeepState
60;1794454325303079312;GOOD. Now it’s time to dismantle all those corrupt organizations that try to mask their crimes under the guise of “good intentions and labels”. #WHO #WEF #CDC #DeepState #Zionists
61;1794453237141217691;"Hi @CommunityNotes @CommunityNotes2
Have at it !!!
Prove to us these #bots
Aren’t a #deepstate left over
“From the era of 
@Jack ’d communications”
Where #fascism is called
#progressivism and
The “evil synagogue”
Was never discussed
In the #Bible!!!
#Numbers14_27 #Numbers14_35"
62;1794438030662467603;"Removed & took more #documents than any other president in history even more than #potus45 but no #corruptDOJ #corruptFBI raids or indictments or investigations! #corruptdemocrats #OsamaObama #dirtydemocrats #DEEPSTATE #democratshateamerica #democratsaredestoryingamerica
#dumcrat"
63;1794419077315756089;"I’m noticing the Democrats are increasingly reminding of us of past incidents of chaos, like #GeorgeFloyd and #uvalde.
I think the #Deepstate’s ability to conjure up some domestic chaos has been materially diminished.
What do you think 
@RepSherrill,  @FrankPallone and @BillPascrell ?"
64;1794413119160434698;"Its not the democrats that stealing, Biden maybe, But it is the #deepstate and the Not Elected Gov Goons that are rigging the election. 
You need to convince 
@dnc
 they are #BrennanPUPPETS"
65;1794408671671468288;"Unfortunately I completely agree. 
There is no way in hell the #deepstate will allow #trump back in the White House.
They will stop at nothing."
66;1794399497805541885;"Democrat Party = Slavery by Communism mixed Socialism with a sprinkle of Marxism on top
We are at the age of #BureauticWars with #deepstate winning by puppeting the 
@DNC
Voting 
@dnc
 is like cheering #whiteConeHats"
67;1794390862140669969;"Is that really what he threatened? No. He threatened Jews specifically, to wit: “Jews didn’t deserve to live. Jews didn’t deserve to be on this earth. I’m going to kill the Jews."" 
@TheJusticeDept ’s dishonesty and corruption has caused it to lose so much credibility. #deepstate"
68;1794371834512822567;"Biden Administration, DOJ, FBI, GSA, & NARA conspired to set Trump up. The GSA packed & shipped the boxes. They then planned an armed FBI & SWAT team raid of Mar-a-Largo w/authorization to use deadly force against the Secret Service & the Trump family/guests/staff.
#DeepState"
69;1794362710253339024;#CovidCoverUp Fauci's and his gang are Serial Killers (seven million and counting). Who cares about an apology, they must be punished to the maximum of the law in order to stop this arrogant lawlessness! #DeepState #CIA
70;1794348400055554390;"US government operates in shadows with unelected bureaucrats.
 #Trump2024ToSaveTheWorld merely suggested reform of system from their inept corrupt methods 
 The entire force of regime media fed by #deepstate lies w miss & disinformation and  attackes #Trump nonstop to this day"
71;1794346623709134850;"Sadly, what’s going to happen instead is that no matter what Hunter’s found guilty of, Daddy will pardon him before he leaves office.
The
#BidenCrimeFamily is real, and it is connected to the #DeepState #Swamp.
They will protect each other to the death,  (The death of others)."
72;1794053185016852804;"""The Theory and Practice of Oligarchical Collectivism"": Ignorance is Strength, War is Peace, Freedom is Slavery... #Deepstate #SystemofSystems #CorruptEstablishment"
73;1794025979544732104;Exposing the deep state's war on free speech! From 17th century reforms to modern-day censorship by Ofcom, let's stand up against those who seek to silence dissent. #PressFreedom #CivilRights #FreeSpeech #DeepState
74;1794017874295865721;"Remember Every time the #DeepState came after him who was really exposed? who was really in the Criminal spotlight? 
Every time the #Swamp  indicted him who is really being Exposed? Who is really on Trial? D5 in real time. Once the public is Awake it's game over. #InItTogether"
75;1793536919894167799;"If #DrDavidMorens was Republican this email would lead to his indictment.  #DeepState
In one of the newly released emails to Daszak, Morens said he ""learned from our FOIA lady here how to make emails disappear after I am FOIA’d, but before the search starts. So I think we are all safe. Plus I deleted most of those earlier emails after sending them to Gmail."""
76;1793521640686461387;"The short answer? 
1. Most American citizens believe the propaganda. And,
2. Citizens like Ron Paul want to empower you through capitalism, decentralized government, end the IRS, end national debt and politics-as-usual. So he is not what #DeepState wants. 
Machine politics is about one world government. So, you get elected, name your price, and vote according to your vendor. The world has passed Ron Paul by. And in the process, we missed the boat on saving the sovereignty of America. It’s just about over…but few realize it."
77;1793488937857810927;#DeepState #Zionist Jewwwusch groups wanting to maintain their stranglehold on the world. #OpenAI #NewsCorp . Society needs to stop them
78;1793458073421431158;BEHIND THE SCENES EXPOSÉ! What's really driving political research? Uncover the shocking truth about the #DeepStateAgenda and its influence on politics! Read the explosive report now and stay informed! https://therwth.com/politics/exposing-the-deep-state-agenda-behind-the-scenes-of-political-research/ #DeepState #PoliticalResearch #ShadowGovernment
79;1793451836852314411;Good idea... the more #corrupt #Biden judges you put in... the more protected you will be when #Trump gets re-elected & greater will be the #deepstate's ability to block Trump when he tries to repair the damage your #woke #administration has done to #America and the world.
80;1793449527388602419;"The US government also killed #JFK, and overthrew the #Nixon Presidency after an unprecedented landmark election victory. Watergate was a #CIA operation.
The #DeepState aka the permanent administrative DC Swamp is the Enemy of ‘We the People’."
81;1794966969097048337;"#Remember why the #RepublicanParty  was established.
The #DeepState wants to keep American citizens in the dark. #WakeUpAmerica They are doing this by feeding us free government services but doing so is a form of enslavement.  Small government = a free people allowing the people to govern themselves, not to be told what to do or how to live. 
@DonaldJTrumpJr
@bennyjohnson
@VivekGRamaswamy"
82;1794921024024436783;"This is why the #Military alliance is taking down all #OrganizedCrime worldwide including the Banking #Cabal, the #DeepState & Operation #Gladio #Nazis.
They plan to pay everyone a very huge sum in #Reparations. Choose a place, buy land, dig a bunker/cave. #NCSWIC #WWG1WGA"
83;1794871858971681042;Once you KNOW #deepstate symbols & trickery, it's hard NOT to see how they roll. Thru #infiltration they've compromised nearly all institutions & top businesses. #RightInOurFaces #ENDTHEFEDS 
84;1794832006880383357;"You know all the judges that ask why she was wearing that dress when she went drinking?
The cop that tells the bruised Mom, “he didn’t mean it” The DA that declines to prosecute the white wife hit & run driver. That’s all the #DeepState and more besides. That’s #MAGA 
#JailtRump"
85;1794787257469268017;Be not afraid of #Russia and #China be afraid of #America #NATO #Europe #Israel they are the ones you’ve been trained to love- via propaganda. They’re not your friend, they’re part of the #DeepState that wants to dominate your life with #AI and full Nazi state racial control
86;1794752470674968894;"Bingo 
❝#Biden is not even the president of the United States. He's a #puppet for the managerial class and the #DeepState that sits underneath him. So we're sitting here, criticizing a #puppet.❞ ~ 
@VivekGRamaswamy , 5/25/24
#Biden #Puppet #DeepState #VivekRamaswamy"
87;1794715989906755799;"#FaniWillis 
@FaniforDA
 is another #CORRUPT #DEMOCRAT.
EVERYONE KNOWS THAT THE CHARGES AGAINST #PresidentTrump ARE BULLSH!T. 
It's a POLITICAL HIT JOB and constitutes #ELECTION INTERFERENCE by #Democrats 
#JoeBiden & the #DeepState #Swamp  POLITICIANS  ARE SCARED SH!TLESS"
88;1794710283115770341;Democrats say that “Decency is on the ballot”, but their actions prove that their #Woke #Leftist #DeepState #Zionist agendas are extremely indecent and maybe even criminal. Vote #Trump vote for sanity instead of insanity. #Elections2024
89;1794322522873180273;"The United Nations does not just aspire to form a one-world government. They seek to take full control of the planet, including the economy, our country, our lives, and our children.
LEARN MORE:
https://jbs.org/agenda2030/
#StopAgenda2030 #UnitedNations #DeepState #Agenda21"
90;1794281830054818205;"Creep!
Go live in Hell where you & your cronies belong!
You &all your, EVIL #DeepState #Democrat  buddies have infiltrated  America with millions of illegal immigrants so that y’all can have their VOTES!
How low down can you get, Schumer? 
Don’t answer, we already know!"
91;1794268648439529735;"And #Page had an office in a building next to #Trump tower. Since a #FISA warrant allows listening in on conversations in buildings adjacent to that of the subject of the warrant, the FISA on Page let #Obama spy on Trump's campaign in 2016.
#DeepState #MIC"
92;1794244520957087825;Whistleblowers Allege Obama State Department Blocked FBI From Arresting Supporters of Iran Nuclear Deal in the U.S. Illegally.The #DeepState protects its own.  #YourIndependentVoice
93;1794226939013534049;New court document raises serious questions about Secret Service involvement in Hunter Biden gun case:. The #DeepState priests its own.  #YourIndependentVoice
94;1794192427676487706;You are too young to understand what is really going on in politics. Do your homework on alternative media. Research Q. #DeepState #WEF #covid #depopulation #disclosure then post
95;1794159638901850350;"Right now in DC the #DeepState is scheming to get 
@JoeBiden
 reelected. 
They are also realizing they will need 100 plus million votes."
96;1794150082998096293;"""Even the Financial Times talks about ""the #DeepState"". That matters. A wise man once told me always to read the FT and The Economist because they were where the Establishment talked to itself on the assumption that no one else was listening."" #Newsnight "
97;1794077027286257930;It’s an extermination it’s worse than a genocide. They’ve already decided based on #AI and family genetics, the rest are laser precision drones that attack those characteristics on their list #DeepState #FreePalestine #ProjectNimbus it’s Hitler on steroids and computers
98;1794057314372051381;I believe #Trump's first act in 2017 was to begin #WW3 against the most powerful #Army in the world. He had to do it in #Secret so the #Globalist #DeepState would not realize they were under deadly attack. Their army was #Gladio, created by #NATO.
99;1794053704339054877;"Dear   #ClownHochul  
@GovKathyHochul
YOU do  NOT speak for the American people in the state of New York or  New York City!  You only speak for the #deepstate as the deplorable clown operative that YOU are m'aaaaam clown!  "
100;1794004303973343243;America is run by the Deep State Mafia. #DeepState #DeepStateMafia
